"","x","monthNum","year","date","monthLet","fracTime"
"1",112,1,1949,1949-01-01,"J",1949.08333333333
"2",118,2,1949,1949-02-01,"F",1949.16666666667
"3",132,3,1949,1949-03-01,"M",1949.25
"4",129,4,1949,1949-04-01,"A",1949.33333333333
"5",121,5,1949,1949-05-01,"M",1949.41666666667
"6",135,6,1949,1949-06-01,"J",1949.5
"7",148,7,1949,1949-07-01,"J",1949.58333333333
"8",148,8,1949,1949-08-01,"A",1949.66666666667
"9",136,9,1949,1949-09-01,"S",1949.75
"10",119,10,1949,1949-10-01,"O",1949.83333333333
"11",104,11,1949,1949-11-01,"N",1949.91666666667
"12",118,12,1949,1949-12-01,"D",1950
"13",115,1,1950,1950-01-01,"J",1950.08333333333
"14",126,2,1950,1950-02-01,"F",1950.16666666667
"15",141,3,1950,1950-03-01,"M",1950.25
"16",135,4,1950,1950-04-01,"A",1950.33333333333
"17",125,5,1950,1950-05-01,"M",1950.41666666667
"18",149,6,1950,1950-06-01,"J",1950.5
"19",170,7,1950,1950-07-01,"J",1950.58333333333
"20",170,8,1950,1950-08-01,"A",1950.66666666667
"21",158,9,1950,1950-09-01,"S",1950.75
"22",133,10,1950,1950-10-01,"O",1950.83333333333
"23",114,11,1950,1950-11-01,"N",1950.91666666667
"24",140,12,1950,1950-12-01,"D",1951
"25",145,1,1951,1951-01-01,"J",1951.08333333333
"26",150,2,1951,1951-02-01,"F",1951.16666666667
"27",178,3,1951,1951-03-01,"M",1951.25
"28",163,4,1951,1951-04-01,"A",1951.33333333333
"29",172,5,1951,1951-05-01,"M",1951.41666666667
"30",178,6,1951,1951-06-01,"J",1951.5
"31",199,7,1951,1951-07-01,"J",1951.58333333333
"32",199,8,1951,1951-08-01,"A",1951.66666666667
"33",184,9,1951,1951-09-01,"S",1951.75
"34",162,10,1951,1951-10-01,"O",1951.83333333333
"35",146,11,1951,1951-11-01,"N",1951.91666666667
"36",166,12,1951,1951-12-01,"D",1952
"37",171,1,1952,1952-01-01,"J",1952.08333333333
"38",180,2,1952,1952-02-01,"F",1952.16666666667
"39",193,3,1952,1952-03-01,"M",1952.25
"40",181,4,1952,1952-04-01,"A",1952.33333333333
"41",183,5,1952,1952-05-01,"M",1952.41666666667
"42",218,6,1952,1952-06-01,"J",1952.5
"43",230,7,1952,1952-07-01,"J",1952.58333333333
"44",242,8,1952,1952-08-01,"A",1952.66666666667
"45",209,9,1952,1952-09-01,"S",1952.75
"46",191,10,1952,1952-10-01,"O",1952.83333333333
"47",172,11,1952,1952-11-01,"N",1952.91666666667
"48",194,12,1952,1952-12-01,"D",1953
"49",196,1,1953,1953-01-01,"J",1953.08333333333
"50",196,2,1953,1953-02-01,"F",1953.16666666667
"51",236,3,1953,1953-03-01,"M",1953.25
"52",235,4,1953,1953-04-01,"A",1953.33333333333
"53",229,5,1953,1953-05-01,"M",1953.41666666667
"54",243,6,1953,1953-06-01,"J",1953.5
"55",264,7,1953,1953-07-01,"J",1953.58333333333
"56",272,8,1953,1953-08-01,"A",1953.66666666667
"57",237,9,1953,1953-09-01,"S",1953.75
"58",211,10,1953,1953-10-01,"O",1953.83333333333
"59",180,11,1953,1953-11-01,"N",1953.91666666667
"60",201,12,1953,1953-12-01,"D",1954
"61",204,1,1954,1954-01-01,"J",1954.08333333333
"62",188,2,1954,1954-02-01,"F",1954.16666666667
"63",235,3,1954,1954-03-01,"M",1954.25
"64",227,4,1954,1954-04-01,"A",1954.33333333333
"65",234,5,1954,1954-05-01,"M",1954.41666666667
"66",264,6,1954,1954-06-01,"J",1954.5
"67",302,7,1954,1954-07-01,"J",1954.58333333333
"68",293,8,1954,1954-08-01,"A",1954.66666666667
"69",259,9,1954,1954-09-01,"S",1954.75
"70",229,10,1954,1954-10-01,"O",1954.83333333333
"71",203,11,1954,1954-11-01,"N",1954.91666666667
"72",229,12,1954,1954-12-01,"D",1955
"73",242,1,1955,1955-01-01,"J",1955.08333333333
"74",233,2,1955,1955-02-01,"F",1955.16666666667
"75",267,3,1955,1955-03-01,"M",1955.25
"76",269,4,1955,1955-04-01,"A",1955.33333333333
"77",270,5,1955,1955-05-01,"M",1955.41666666667
"78",315,6,1955,1955-06-01,"J",1955.5
"79",364,7,1955,1955-07-01,"J",1955.58333333333
"80",347,8,1955,1955-08-01,"A",1955.66666666667
"81",312,9,1955,1955-09-01,"S",1955.75
"82",274,10,1955,1955-10-01,"O",1955.83333333333
"83",237,11,1955,1955-11-01,"N",1955.91666666667
"84",278,12,1955,1955-12-01,"D",1956
"85",284,1,1956,1956-01-01,"J",1956.08333333333
"86",277,2,1956,1956-02-01,"F",1956.16666666667
"87",317,3,1956,1956-03-01,"M",1956.25
"88",313,4,1956,1956-04-01,"A",1956.33333333333
"89",318,5,1956,1956-05-01,"M",1956.41666666667
"90",374,6,1956,1956-06-01,"J",1956.5
"91",413,7,1956,1956-07-01,"J",1956.58333333333
"92",405,8,1956,1956-08-01,"A",1956.66666666667
"93",355,9,1956,1956-09-01,"S",1956.75
"94",306,10,1956,1956-10-01,"O",1956.83333333333
"95",271,11,1956,1956-11-01,"N",1956.91666666667
"96",306,12,1956,1956-12-01,"D",1957
"97",315,1,1957,1957-01-01,"J",1957.08333333333
"98",301,2,1957,1957-02-01,"F",1957.16666666667
"99",356,3,1957,1957-03-01,"M",1957.25
"100",348,4,1957,1957-04-01,"A",1957.33333333333
"101",355,5,1957,1957-05-01,"M",1957.41666666667
"102",422,6,1957,1957-06-01,"J",1957.5
"103",465,7,1957,1957-07-01,"J",1957.58333333333
"104",467,8,1957,1957-08-01,"A",1957.66666666667
"105",404,9,1957,1957-09-01,"S",1957.75
"106",347,10,1957,1957-10-01,"O",1957.83333333333
"107",305,11,1957,1957-11-01,"N",1957.91666666667
"108",336,12,1957,1957-12-01,"D",1958
"109",340,1,1958,1958-01-01,"J",1958.08333333333
"110",318,2,1958,1958-02-01,"F",1958.16666666667
"111",362,3,1958,1958-03-01,"M",1958.25
"112",348,4,1958,1958-04-01,"A",1958.33333333333
"113",363,5,1958,1958-05-01,"M",1958.41666666667
"114",435,6,1958,1958-06-01,"J",1958.5
"115",491,7,1958,1958-07-01,"J",1958.58333333333
"116",505,8,1958,1958-08-01,"A",1958.66666666667
"117",404,9,1958,1958-09-01,"S",1958.75
"118",359,10,1958,1958-10-01,"O",1958.83333333333
"119",310,11,1958,1958-11-01,"N",1958.91666666667
"120",337,12,1958,1958-12-01,"D",1959
"121",360,1,1959,1959-01-01,"J",1959.08333333333
"122",342,2,1959,1959-02-01,"F",1959.16666666667
"123",406,3,1959,1959-03-01,"M",1959.25
"124",396,4,1959,1959-04-01,"A",1959.33333333333
"125",420,5,1959,1959-05-01,"M",1959.41666666667
"126",472,6,1959,1959-06-01,"J",1959.5
"127",548,7,1959,1959-07-01,"J",1959.58333333333
"128",559,8,1959,1959-08-01,"A",1959.66666666667
"129",463,9,1959,1959-09-01,"S",1959.75
"130",407,10,1959,1959-10-01,"O",1959.83333333333
"131",362,11,1959,1959-11-01,"N",1959.91666666667
"132",405,12,1959,1959-12-01,"D",1960
"133",417,1,1960,1960-01-01,"J",1960.08333333333
"134",391,2,1960,1960-02-01,"F",1960.16666666667
"135",419,3,1960,1960-03-01,"M",1960.25
"136",461,4,1960,1960-04-01,"A",1960.33333333333
"137",472,5,1960,1960-05-01,"M",1960.41666666667
"138",535,6,1960,1960-06-01,"J",1960.5
"139",622,7,1960,1960-07-01,"J",1960.58333333333
"140",606,8,1960,1960-08-01,"A",1960.66666666667
"141",508,9,1960,1960-09-01,"S",1960.75
"142",461,10,1960,1960-10-01,"O",1960.83333333333
"143",390,11,1960,1960-11-01,"N",1960.91666666667
"144",432,12,1960,1960-12-01,"D",1961
